apol,ast_violation,ast_violation_ext,a_acc,a_aro,a_count,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nC,a_nH,a_nN,a_nO,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,density,diameter,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_pbo,h_mr,h_pavgQ,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_violation,logP(o/w),logS,mr,opr_brigid,opr_nring,opr_nrot,opr_violation,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA-0,PEOE_VSA-3,PEOE_VSA-5,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_VSA_HYD,Q_VSA_POS,radius,rings,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,logPapp
99.687233,2,4,7,0,95,9,43,24,145.34544,1.529952,30,52,6,7,2.502291,-2.704371,-0.35430011,0.27325431,2.7498097,-2.8475792,-0.31821072,0.26831076,2.7197211,-2.4496763,-0.15542245,0.36762673,3.0037177,73.750763,9,0.20454545,0,96,6,44,4,9,0.20454545,90,32.266857,27.018625,21.372032,21.836134,20.351881,15.579261,9.1410646,9.4290876,0.81151497,15,-0.84114361,-0.36313459,-0.008268531,3.1865983,-1.164903,-0.3403191,-0.007747143,3.11396,-0.53408116,-0.17525758,0.05693607,3.4146163,12.9718,23.011852,18.037409,2.9273059,2.9273059,-5.2883983,6.0806718,16.511478,0,14,1,0,39.179752,19.611666,11.634349,34.390934,17.159147,10.156068,13.7237,13,2,0.69800001,-4.8191199,16.342157,22,1,20,3,3.6624703,-3.6624703,0.074991398,0.095303386,244.10176,0,94.797981,125.11412,0,0,0,81.401527,0.72845739,0.14956547,0.14956547,0.27154261,0.85043454,0.12197715,464.01385,95.270432,95.270432,172.96762,541.71106,77.697189,0.33333334,0.5,636.98145,636.98145,10,2,0.18604651,0.3673,36.0215,44.049957,170.10106,113.12415,4.4107962,68.281059,0,113.21043,166.63008,16.05184,154.17319,12.497255,40.432297,15.927875,0,113.21043,144.67685,234.91113,148.67,0.27608413,6.4594316,3.5938575,10.643646,636.98145,685.58807,83.905281,464.01385,77.697189,95.270432,608.78101,5871,71,208,-7.13
105.07241,2,4,6,0,100,8,44,26,148.15419,1.481542,32,56,6,6,2.4991341,-2.7084806,-0.43053222,0.38055056,2.7498465,-2.8454397,-0.41433126,0.34096614,2.7198551,-2.4518719,-0.27038828,0.49782643,3.0038071,76.207588,10,0.22222222,0,101,6,45,5,10,0.22222222,95,32.973961,28.02459,22.786245,23.250347,20.851881,16.589445,10.848171,11.136194,0.79270023,16,-0.84118432,-0.3600013,0.038266178,3.2136703,-1.1649009,-0.33921218,0.006879344,3.1529531,-0.53418577,-0.20483547,0.11255409,3.4416833,11.619132,21.780376,16.809954,4.4720125,4.4720125,-6.2989364,6.0808272,17.240173,0,14,1,0,40.175804,20.384842,12.198347,35.37381,17.893267,10.684562,14.385297,12,2,2.619,-6.2358999,17.086256,22,1,21,3,3.3160331,-3.3160331,0.082826011,0.093999892,320.9357,0,94.797981,67.397217,0,0,0,81.401527,0.73919028,0.14193302,0.14193302,0.26080972,0.85806698,0.1188767,483.13089,92.766678,92.766678,170.46387,560.82806,77.697189,0.375,0.60000002,653.59473,653.59473,10,2,0.20454545,1.9111,36.0215,44.049957,159.10117,92.197891,4.4107962,32.897186,0,169.81564,199.95609,16.81674,143.17329,12.497255,40.432297,15.927875,0,169.81564,123.7506,232.85327,139.44,0.27128488,6.4918532,3.651711,10.707211,653.59473,711.98163,81.401527,483.13089,77.697189,92.766678,620.836,6304,72,212,-5.32
105.92524,2,4,6,6,98,8,46,28,147.82541,1.5084226,34,52,6,6,1.9782113,-2.7033591,-0.49371687,0.47871363,2.7497482,-2.8393779,-0.43515745,0.4343276,2.7197387,-2.4489498,-0.33372241,0.60577339,3.0036535,71.834763,8,0.16666667,6,100,6,48,4,8,0.16666667,88,33.965527,28.290022,23.051678,24.241911,21.869518,16.646574,10.905302,12.153832,0.79403037,16,-0.84114206,-0.37319475,0.056861632,3.2012148,-1.164892,-0.33082852,0.030880764,3.1455004,-0.53405452,-0.21078044,0.14543712,3.4340346,11.609864,22.471258,17.497358,4.5759759,4.5759759,-6.8644228,9.1456461,17.881136,0,14,1,0,40.429688,20,11.798186,33.911629,16.707174,9.827837,12.316685,12,2,2.5680001,-6.4443798,17.740303,28,2,19,3,3.3171763,-3.3171763,0.08279746,0.093967497,246.31029,0,94.797981,67.397217,0,79.042473,0,81.401527,0.74094105,0.26110345,0.14098026,0.25905895,0.73889655,0.11807871,487.54797,171.80914,92.766678,170.46387,486.20267,77.697189,0.375,0.60000002,658.01184,658.01184,10,3,0.23913044,2.1875,36.0215,44.049957,159.10117,73.758316,7.5963712,32.897186,88.215919,113.21043,185.06966,17.41264,143.17329,12.497255,40.432297,19.113449,0,219.86594,105.31101,199.52727,139.44,0.26638746,6.5849624,3.6859531,10.835624,658.01184,741.04218,81.401527,487.54797,77.697189,92.766678,640.82599,7055,76,228,-5.45
109.92599,2,4,6,0,104,8,46,28,153.08955,1.4720149,34,58,6,6,1.9779174,-2.815345,-0.44012499,0.40221053,2.759223,-2.8512707,-0.43043301,0.35708925,2.8738699,-2.5598412,-0.28231123,0.51568484,3.0153117,78.394005,8,0.16666667,0,106,6,48,4,8,0.16666667,100,33.965527,29.016153,23.777811,24.241911,21.869518,17.607082,11.865809,12.153832,0.79403037,16,-0.84117377,-0.36372086,0.048166495,3.2663517,-1.1649022,-0.33787382,0.012684402,3.2178185,-0.53418893,-0.21033214,0.1178856,3.4938211,11.618484,21.892971,16.922306,4.7080688,4.7080688,-6.6802778,6.0808182,17.979113,0,14,1,0,40.429688,20,11.798186,35.801998,17.661222,10.398329,13.745807,12,2,2.925,-6.8508501,17.808071,28,2,21,3,3.3160341,-3.3160341,0.082825989,0.09399987,325.35275,0,94.797981,67.397217,0,0,0,81.401527,0.74094105,0.14098026,0.14098026,0.25905895,0.85901976,0.11807871,487.54797,92.766678,92.766678,170.46387,565.24518,77.697189,0.375,0.60000002,658.01184,658.01184,10,3,0.23913044,2.3011999,36.0215,44.049957,159.10117,92.197891,8.8215923,32.897186,0,207.55246,166.63008,17.52174,143.17329,12.497255,44.843094,15.927875,0,207.55246,123.7506,199.52727,139.44,0.26638746,6.5849624,3.6859531,10.835624,658.01184,741.04218,81.401527,487.54797,77.697189,92.766678,646.87396,7055,76,228,-5.04
107.63441,2,4,7,0,102,9,46,27,153.74924,1.5073456,33,56,6,7,1.9779174,-2.7634301,-0.43533766,0.39138088,2.7506242,-2.8536637,-0.42268208,0.34902769,2.7350323,-2.5149202,-0.2763505,0.5067566,3.0045717,78.123589,8,0.16666667,0,104,6,48,4,8,0.16666667,98,33.965527,28.717297,23.070704,23.534805,21.869518,17.184433,10.865809,11.153832,0.80798864,16,-0.84117877,-0.36224505,0.04321694,3.2504058,-1.1649022,-0.34101102,0.009781846,3.1866066,-0.53416175,-0.20769975,0.11521977,3.477268,13.03308,23.298405,18.327057,3.1155961,3.1155961,-5.7929239,6.0807915,17.704821,0,14,1,0,40.429688,20,11.798186,35.801998,17.661222,10.398329,13.745807,13,2,1.517,-5.4478302,17.529099,28,2,21,3,3.669807,-3.669807,0.074841477,0.096401595,277.92728,0,138.91493,67.397217,0,0,0,81.401527,0.73681414,0.14496258,0.14496258,0.26318589,0.85503739,0.1182233,484.23944,95.270432,95.270432,172.96762,561.93665,77.697189,0.375,0.60000002,657.20703,657.20703,10,3,0.065217391,1.1475,36.0215,44.049957,170.10106,134.05042,8.8215923,32.897186,0,150.94725,166.63008,17.21854,154.17319,12.497255,44.843094,15.927875,0,150.94725,165.6031,199.52727,148.67,0.26638746,6.5849624,3.6859531,10.835624,657.20703,733.17609,83.905281,484.23944,77.697189,95.270432,648.84601,7055,76,228,-7.27
108.96799,2,4,7,0,104,9,46,27,155.45657,1.4947747,33,58,6,7,2.5771441,-2.7085001,-0.35411495,0.27325103,2.7502851,-2.8526464,-0.31752324,0.26831058,2.7198024,-2.4527905,-0.15539965,0.36759505,3.0042858,80.310005,11,0.23404256,0,105,6,47,4,11,0.23404256,99,34.551311,29.303082,23.65649,24.120592,21.745728,16.973108,10.534912,10.822934,0.79927361,16,-0.8411451,-0.35684344,-0.008272165,3.2495334,-1.1649674,-0.32938939,-0.007747234,3.1829703,-0.5341022,-0.17340583,0.056925289,3.476531,12.970255,23.079084,18.099377,4.2402339,4.2402339,-6.2103257,6.080667,17.874634,0,14,1,0,42.168404,21.269531,13.0075,37.341698,18.782297,11.464157,15.247018,13,2,2.112,-6.0513301,17.721796,22,1,22,3,3.6624715,-3.6624715,0.074991375,0.095303357,291.52725,0,94.797981,125.11412,0,0,0,81.401527,0.74727374,0.13920143,0.13920143,0.25272629,0.86079854,0.11352483,511.43933,95.270432,95.270432,172.96762,589.13654,77.697189,0.375,0.60000002,684.40698,684.40698,10,2,0.17391305,1.3935,36.0215,44.049957,170.10106,113.12415,8.8215923,68.281059,0,132.07884,199.95609,17.429939,154.17319,12.497255,44.843094,15.927875,0,132.07884,144.67685,268.23715,148.67,0.26221824,6.5545888,3.6427929,10.842501,684.40698,741.17047,83.905281,511.43933,77.697189,95.270432,650.862,6969,75,222,-5.55
109.01882,2,4,6,6,101,8,47,29,151.17097,1.4967424,35,54,6,6,1.9541351,-2.7045906,-0.49271366,0.47862598,2.7497966,-2.8457327,-0.43386999,0.43428934,2.7197244,-2.4496138,-0.33363962,0.60560375,3.0037298,74.021179,9,0.18367347,6,103,6,49,4,9,0.18367347,91,34.672634,28.997128,23.758783,24.949018,22.369518,17.146574,11.405302,12.653832,0.79047519,17,-0.84116381,-0.36566639,0.056850106,3.2130396,-1.164902,-0.33881968,0.030880576,3.1501942,-0.53408021,-0.21069553,0.14522409,3.4447863,11.616331,22.775648,17.804174,4.7660146,4.7660146,-7.046905,9.1457405,18.335535,0,14,1,0,41.421074,20.750725,12.32609,34.879162,17.405302,10.31032,12.916645,12,2,2.6559999,-6.5058498,18.208727,28,2,20,3,3.3450012,-3.3450012,0.082108729,0.093185842,244.10176,15.808495,94.797981,67.397217,0,81.251015,0,81.401527,0.74701881,0.25825533,0.13767272,0.25298119,0.7417447,0.11530846,503.35645,174.01768,92.766678,170.46387,499.80264,77.697189,0.41176471,0.69999999,673.82031,673.82031,10,3,0.25531915,1.96357,36.0215,44.049957,159.10117,92.197891,7.5963712,51.765594,88.215919,113.21043,166.63008,17.878839,143.17329,12.497255,40.432297,19.113449,0,220.29475,123.7506,199.52727,139.44,0.2619549,6.6147099,3.7636039,10.891866,673.82031,759.56964,81.401527,503.35645,77.697189,92.766678,654.85297,7617,77,232,-7.4
114.35316,2,4,6,0,109,8,47,29,158.02747,1.4497932,35,62,6,6,2.5798984,-2.7154334,-0.43025172,0.38054568,2.750344,-2.8501966,-0.41327551,0.34096587,2.7201099,-2.4573565,-0.27035406,0.49777886,3.0044229,82.76683,12,0.25,0,110,6,48,5,12,0.25,104,35.258419,30.309048,25.070704,25.534805,22.245728,17.983292,12.242019,12.530041,0.78224218,16,-0.84118283,-0.3551023,0.038260717,3.2782614,-1.164965,-0.30995455,0.006879207,3.2242496,-0.53460348,-0.2019701,0.11253787,3.5052679,11.617604,21.848457,16.872734,5.7847042,5.7847042,-7.2206979,6.0808225,18.603329,0,14,1,0,43.164932,22.047337,13.573541,38.326618,19.523741,11.997124,15.92083,12,2,4.033,-7.4681101,18.462185,22,1,23,3,3.3160341,-3.3160341,0.082825981,0.093999863,368.36118,0,94.797981,67.397217,0,0,0,81.401527,0.75683463,0.13233095,0.13233095,0.2431654,0.86766905,0.11083444,530.5564,92.766678,92.766678,170.46387,608.25354,77.697189,0.375,0.60000002,701.0202,701.0202,10,2,0.19148937,2.9373,36.0215,44.049957,159.10117,92.197891,8.8215923,32.897186,0,188.68405,233.2821,18.194839,143.17329,12.497255,44.843094,15.927875,0,188.68405,123.7506,266.17929,139.44,0.2579309,6.5849624,3.682657,10.903396,701.0202,767.56403,81.401527,530.5564,77.697189,92.766678,662.91699,7431,76,226,-4.94
112.11241,2,4,6,6,104,8,48,30,154.49701,1.4855481,36,56,6,6,1.9279361,-2.7058103,-0.49264103,0.47861934,2.749825,-2.8455672,-0.43364218,0.43428841,2.719734,-2.4502854,-0.33363491,0.60559356,3.0037732,76.207588,10,0.2,6,106,6,50,4,10,0.2,94,35.379742,29.704235,24.465891,25.656126,22.869518,17.646574,11.905302,13.153832,0.78708935,18,-0.84118021,-0.36520597,0.056837842,3.2228363,-1.1649013,-0.33503491,0.030880526,3.1631913,-0.53411305,-0.21066926,0.14519575,3.4536633,11.618258,22.934704,17.963953,4.9970903,4.9970903,-7.3552804,9.1457682,18.789925,0,14,1,0,42.4128,21.507786,12.874527,35.847942,18.110914,10.813179,13.525812,12,2,3.098,-6.7076201,18.676847,28,2,21,3,3.347342,-3.347342,0.082051307,0.093120679,275.71875,0,94.797981,67.397217,0,81.251015,0,81.401527,0.75281793,0.25233528,0.13451682,0.24718204,0.74766469,0.11266523,519.16498,174.01768,92.766678,170.46387,515.61115,77.697189,0.44444445,0.80000001,689.62885,689.62885,10,3,0.27083334,2.3536699,36.0215,44.049957,159.10117,92.197891,7.5963712,51.765594,88.215919,132.07884,166.63008,18.34054,143.17329,12.497255,40.432297,19.113449,0,239.16316,123.7506,199.52727,139.44,0.25768197,6.643856,3.8432662,10.945385,689.62885,778.09711,81.401527,519.16498,77.697189,92.766678,668.88,8226,78,236,-5.16
109.82082,2,4,7,6,102,9,48,29,155.1373,1.5209539,35,54,6,7,1.9279361,-2.7041864,-0.47735059,0.45244178,2.7498085,-2.8478303,-0.46356815,0.48493725,2.7197208,-2.4495771,-0.31131887,0.608895,3.0037148,75.93718,10,0.2,6,104,6,50,4,10,0.2,92,35.379742,29.405376,23.758783,24.949018,22.869518,17.28582,11.051748,12.245584,0.80030531,18,-0.84114265,-0.37225157,0.055494044,3.203598,-1.1649055,-0.34216866,0.042508572,3.1365392,-0.5340777,-0.21122283,0.13622434,3.4335332,12.531088,23.80345,18.827959,4.477097,4.477097,-6.9135079,9.332592,18.54072,0,14,1,0,42.4128,21.507786,12.874527,35.847942,18.110914,10.813179,13.525812,13,2,2.352,-6.5212002,18.393883,28,2,21,3,3.6417279,-3.6417279,0.075418532,0.090155445,323.14423,8.458519,94.797981,89.455688,0,0,0,81.401527,0.74889433,0.13830881,0.13830881,0.25110567,0.86169118,0.11279686,515.85645,95.270432,95.270432,172.96762,593.55359,77.697189,0.44444445,0.80000001,688.82404,688.82404,10,3,0.27083334,1.7999001,47.021389,44.049957,159.10117,113.12415,4.4107962,32.897186,88.215919,113.21043,171.8735,18.05794,143.17329,23.497143,40.432297,21.171303,0,201.42636,144.67685,199.52727,148.67,0.25768197,6.643856,3.8432662,10.945385,688.82404,770.23108,83.905281,515.85645,77.697189,95.270432,670.85199,8226,78,236,-5.46
