apol,ast_violation,ast_violation_ext,a_acc,a_aro,a_heavy,a_hyd,a_nC,a_nN,a_nO,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,b_ar,b_double,b_heavy,b_max1len,chi0,chi0_C,chi1,chi1v,chi1v_C,chi1_C,diameter,GCUT_PEOE_2,GCUT_SMR_1,GCUT_SMR_2,h_ema,h_logS,h_log_pbo,h_mr,h_pstates,Kier1,Kier2,lip_acc,lip_violation,logP(o/w),logS,mr,opr_brigid,opr_nring,opr_violation,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+1,PEOE_VSA+3,PEOE_VSA-0,PEOE_VSA-3,PEOE_VSA-5,PEOE_VSA_FNEG,PEOE_VSA_FPOS,PEOE_VSA_NEG,petitjean,petitjeanSC,rings,rsynth,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SMR,SMR_VSA0,SMR_VSA5,SMR_VSA6,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_vol,vsa_acc,vsa_other,Weight,weinerPath,weinerPol,zagreb,logPapp
99.687233,2,4,7,0,43,24,30,6,7,2.502291,-2.704371,-0.35430011,0.27325431,-0.31821072,0.26831076,2.7197211,-2.4496763,-0.15542245,0.36762673,0,6,44,4,32.266857,21.836134,20.351881,15.579261,9.1410646,9.4290876,15,-0.008268531,-0.17525758,0.05693607,12.9718,-5.2883983,6.0806718,16.511478,1,39.179752,19.611666,13,2,0.69800001,-4.8191199,16.342157,22,1,3,3.6624703,-3.6624703,0.074991398,0.095303386,0,125.11412,0,0,81.401527,0.14956547,0.85043454,95.270432,0.33333334,0.5,2,0.18604651,44.049957,170.10106,113.12415,4.4107962,0,16.05184,154.17319,113.21043,144.67685,0.27608413,6.4594316,3.5938575,10.643646,685.58807,83.905281,77.697189,608.78101,5871,71,208,-7.13
105.07241,2,4,6,0,44,26,32,6,6,2.4991341,-2.7084806,-0.43053222,0.38055056,-0.41433126,0.34096614,2.7198551,-2.4518719,-0.27038828,0.49782643,0,6,45,5,32.973961,23.250347,20.851881,16.589445,10.848171,11.136194,16,0.038266178,-0.20483547,0.11255409,11.619132,-6.2989364,6.0808272,17.240173,1,40.175804,20.384842,12,2,2.619,-6.2358999,17.086256,22,1,3,3.3160331,-3.3160331,0.082826011,0.093999892,0,67.397217,0,0,81.401527,0.14193302,0.85806698,92.766678,0.375,0.60000002,2,0.20454545,44.049957,159.10117,92.197891,4.4107962,0,16.81674,143.17329,169.81564,123.7506,0.27128488,6.4918532,3.651711,10.707211,711.98163,81.401527,77.697189,620.836,6304,72,212,-5.32
105.92524,2,4,6,6,46,28,34,6,6,1.9782113,-2.7033591,-0.49371687,0.47871363,-0.43515745,0.4343276,2.7197387,-2.4489498,-0.33372241,0.60577339,6,6,48,4,33.965527,24.241911,21.869518,16.646574,10.905302,12.153832,16,0.056861632,-0.21078044,0.14543712,11.609864,-6.8644228,9.1456461,17.881136,1,40.429688,20,12,2,2.5680001,-6.4443798,17.740303,28,2,3,3.3171763,-3.3171763,0.08279746,0.093967497,0,67.397217,79.042473,0,81.401527,0.26110345,0.73889655,171.80914,0.375,0.60000002,3,0.23913044,44.049957,159.10117,73.758316,7.5963712,88.215919,17.41264,143.17329,219.86594,105.31101,0.26638746,6.5849624,3.6859531,10.835624,741.04218,81.401527,77.697189,640.82599,7055,76,228,-5.45
109.92599,2,4,6,0,46,28,34,6,6,1.9779174,-2.815345,-0.44012499,0.40221053,-0.43043301,0.35708925,2.8738699,-2.5598412,-0.28231123,0.51568484,0,6,48,4,33.965527,24.241911,21.869518,17.607082,11.865809,12.153832,16,0.048166495,-0.21033214,0.1178856,11.618484,-6.6802778,6.0808182,17.979113,1,40.429688,20,12,2,2.925,-6.8508501,17.808071,28,2,3,3.3160341,-3.3160341,0.082825989,0.09399987,0,67.397217,0,0,81.401527,0.14098026,0.85901976,92.766678,0.375,0.60000002,3,0.23913044,44.049957,159.10117,92.197891,8.8215923,0,17.52174,143.17329,207.55246,123.7506,0.26638746,6.5849624,3.6859531,10.835624,741.04218,81.401527,77.697189,646.87396,7055,76,228,-5.04
107.63441,2,4,7,0,46,27,33,6,7,1.9779174,-2.7634301,-0.43533766,0.39138088,-0.42268208,0.34902769,2.7350323,-2.5149202,-0.2763505,0.5067566,0,6,48,4,33.965527,23.534805,21.869518,17.184433,10.865809,11.153832,16,0.04321694,-0.20769975,0.11521977,13.03308,-5.7929239,6.0807915,17.704821,1,40.429688,20,13,2,1.517,-5.4478302,17.529099,28,2,3,3.669807,-3.669807,0.074841477,0.096401595,0,67.397217,0,0,81.401527,0.14496258,0.85503739,95.270432,0.375,0.60000002,3,0.065217391,44.049957,170.10106,134.05042,8.8215923,0,17.21854,154.17319,150.94725,165.6031,0.26638746,6.5849624,3.6859531,10.835624,733.17609,83.905281,77.697189,648.84601,7055,76,228,-7.27
108.96799,2,4,7,0,46,27,33,6,7,2.5771441,-2.7085001,-0.35411495,0.27325103,-0.31752324,0.26831058,2.7198024,-2.4527905,-0.15539965,0.36759505,0,6,47,4,34.551311,24.120592,21.745728,16.973108,10.534912,10.822934,16,-0.008272165,-0.17340583,0.056925289,12.970255,-6.2103257,6.080667,17.874634,1,42.168404,21.269531,13,2,2.112,-6.0513301,17.721796,22,1,3,3.6624715,-3.6624715,0.074991375,0.095303357,0,125.11412,0,0,81.401527,0.13920143,0.86079854,95.270432,0.375,0.60000002,2,0.17391305,44.049957,170.10106,113.12415,8.8215923,0,17.429939,154.17319,132.07884,144.67685,0.26221824,6.5545888,3.6427929,10.842501,741.17047,83.905281,77.697189,650.862,6969,75,222,-5.55
109.01882,2,4,6,6,47,29,35,6,6,1.9541351,-2.7045906,-0.49271366,0.47862598,-0.43386999,0.43428934,2.7197244,-2.4496138,-0.33363962,0.60560375,6,6,49,4,34.672634,24.949018,22.369518,17.146574,11.405302,12.653832,17,0.056850106,-0.21069553,0.14522409,11.616331,-7.046905,9.1457405,18.335535,1,41.421074,20.750725,12,2,2.6559999,-6.5058498,18.208727,28,2,3,3.3450012,-3.3450012,0.082108729,0.093185842,15.808495,67.397217,81.251015,0,81.401527,0.25825533,0.7417447,174.01768,0.41176471,0.69999999,3,0.25531915,44.049957,159.10117,92.197891,7.5963712,88.215919,17.878839,143.17329,220.29475,123.7506,0.2619549,6.6147099,3.7636039,10.891866,759.56964,81.401527,77.697189,654.85297,7617,77,232,-7.4
114.35316,2,4,6,0,47,29,35,6,6,2.5798984,-2.7154334,-0.43025172,0.38054568,-0.41327551,0.34096587,2.7201099,-2.4573565,-0.27035406,0.49777886,0,6,48,5,35.258419,25.534805,22.245728,17.983292,12.242019,12.530041,16,0.038260717,-0.2019701,0.11253787,11.617604,-7.2206979,6.0808225,18.603329,1,43.164932,22.047337,12,2,4.033,-7.4681101,18.462185,22,1,3,3.3160341,-3.3160341,0.082825981,0.093999863,0,67.397217,0,0,81.401527,0.13233095,0.86766905,92.766678,0.375,0.60000002,2,0.19148937,44.049957,159.10117,92.197891,8.8215923,0,18.194839,143.17329,188.68405,123.7506,0.2579309,6.5849624,3.682657,10.903396,767.56403,81.401527,77.697189,662.91699,7431,76,226,-4.94
112.11241,2,4,6,6,48,30,36,6,6,1.9279361,-2.7058103,-0.49264103,0.47861934,-0.43364218,0.43428841,2.719734,-2.4502854,-0.33363491,0.60559356,6,6,50,4,35.379742,25.656126,22.869518,17.646574,11.905302,13.153832,18,0.056837842,-0.21066926,0.14519575,11.618258,-7.3552804,9.1457682,18.789925,1,42.4128,21.507786,12,2,3.098,-6.7076201,18.676847,28,2,3,3.347342,-3.347342,0.082051307,0.093120679,0,67.397217,81.251015,0,81.401527,0.25233528,0.74766469,174.01768,0.44444445,0.80000001,3,0.27083334,44.049957,159.10117,92.197891,7.5963712,88.215919,18.34054,143.17329,239.16316,123.7506,0.25768197,6.643856,3.8432662,10.945385,778.09711,81.401527,77.697189,668.88,8226,78,236,-5.16
109.82082,2,4,7,6,48,29,35,6,7,1.9279361,-2.7041864,-0.47735059,0.45244178,-0.46356815,0.48493725,2.7197208,-2.4495771,-0.31131887,0.608895,6,6,50,4,35.379742,24.949018,22.869518,17.28582,11.051748,12.245584,18,0.055494044,-0.21122283,0.13622434,12.531088,-6.9135079,9.332592,18.54072,1,42.4128,21.507786,13,2,2.352,-6.5212002,18.393883,28,2,3,3.6417279,-3.6417279,0.075418532,0.090155445,8.458519,89.455688,0,0,81.401527,0.13830881,0.86169118,95.270432,0.44444445,0.80000001,3,0.27083334,44.049957,159.10117,113.12415,4.4107962,88.215919,18.05794,143.17329,201.42636,144.67685,0.25768197,6.643856,3.8432662,10.945385,770.23108,83.905281,77.697189,670.85199,8226,78,236,-5.46
