logP(o/w),logS,PEOE_VSA+1,GCUT_SMR_1,PEOE_RPC-,rsynth,BCUT_SMR_2,GCUT_SMR_2,h_ema,h_logS,BCUT_SLOGP_3,BCUT_SLOGP_1,h_log_pbo,chi1v_C,balabanJ,BCUT_PEOE_1,GCUT_PEOE_2,vsa_other,BCUT_PEOE_2,BCUT_PEOE_0,SMR_VSA5,chi1v,chi1_C,BCUT_SMR_0,BCUT_SMR_1,PEOE_VSA+3,VDistEq,lip_violation,PEOE_VSA_FPOS,PEOE_RPC+,PEOE_VSA_FNEG,PEOE_VSA_NEG,BCUT_SLOGP_2,PEOE_PC-,Kier2,PEOE_PC+,PEOE_VSA-0,vsa_acc,SMR_VSA0,SlogP_VSA4,apol,Weight,PEOE_VSA-5,petitjeanSC,petitjean,SMR,SMR_VSA6,SlogP_VSA2,weinerPath,VDistMa,b_double,chi0_C,h_pstates,a_nO,weinerPol,h_mr,VAdjEq,SlogP_VSA3,zagreb,chi1,Kier1,opr_brigid,mr,chi0,diameter,vdw_vol,SlogP_VSA7,a_hyd,b_max1len,opr_violation,a_acc,SlogP_VSA1,VAdjMa,a_nC,b_heavy,a_aro,a_heavy,b_ar,a_nN,lip_acc,rings,opr_nring,PEOE_VSA-3,ast_violation_ext,ast_violation,logPapp
4.743,-8.9262896,15.808495,-0.21893343,0.095013782,0,0.59597051,0.15122849,12.432638,-7.401619,2.7145169,-0.48684505,9.3322973,13.608256,2.0422966,-0.49977624,0.046404615,77.697189,0.45341608,-2.7115493,202.65158,18.548018,14.742526,-2.4586413,-0.33116147,40.197308,3.7826133,3,0.77224243,0.083704077,0.2277576,157.20685,0.40234792,-3.2801476,21.922937,3.2801476,33.825527,81.401527,143.17329,20.82876,119.10158,712.93298,81.401527,0.63636363,0.3888889,19.40193,49.992279,167.06511,9286,11.138001,6,26.877586,1.0206779,7,80,19.903839,0.24573661,18.439579,254,23.941376,45.38982,28,19.655594,37.990471,18,814.58478,70.572739,32,3,4,7,34.677017,6.7279205,38,53,6,51,6,6,13,3,2,13.566921,5,3,-5.79
3.717,-7.8132601,15.808495,-0.22227845,0.092628509,0,0.62425941,0.16490763,12.450751,-6.9835553,2.7272413,-0.51666963,9.3324823,13.045307,1.6994125,-0.52512324,0.052761275,77.697189,0.50613815,-2.7067482,221.51997,18.244427,14.179578,-2.4543409,-0.34645662,40.197308,3.7580242,2,0.77029163,0.081587732,0.22970839,151.52428,0.46759626,-3.3652329,20.0704,3.3652329,33.825527,81.401527,143.17329,16.417963,114.67441,696.89001,81.401527,0.80000001,0.44444445,18.73686,68.431854,167.06511,8721,11.078074,6,25.714449,1.0206779,7,81,19.279648,0.25318992,36.879158,256,23.636847,42.737629,32,19.016987,36.697578,18,790.61218,70.572739,31,3,3,7,37.801331,6.7279205,37,53,6,50,6,6,13,4,3,13.566921,5,3,-7.05
4.9400001,-8.8203001,15.808495,-0.21689926,0.092666239,0,0.57713556,0.14170554,12.455304,-7.8007283,2.7154424,-0.4728893,9.3325148,13.608256,2.0831182,-0.48520017,0.045584165,77.697189,0.44340777,-2.7220182,202.65158,18.938362,14.742526,-2.4673555,-0.32023764,40.197308,3.7748463,2,0.78909689,0.081635751,0.21090311,151.52428,0.39866349,-3.3632445,22.0741,3.3632445,33.825527,81.401527,143.17329,20.82876,122.19517,726.95996,81.401527,0.63636363,0.3888889,19.86466,49.992279,167.06511,9640,11.196231,6,27.877586,1.0206773,7,84,20.358253,0.24202083,18.439579,260,24.368896,46.382717,28,20.110783,38.860714,18,835.6615,70.572739,33,3,3,7,37.801331,6.7548876,39,54,6,52,6,6,13,3,2,13.566921,5,3,-6.11
4.9400001,-8.8203001,15.808495,-0.21767119,0.092666239,0,0.57927448,0.14410675,12.455299,-7.8006902,2.716934,-0.4734318,9.3325148,13.608256,2.080765,-0.48761404,0.045803845,77.697189,0.44356149,-2.7229836,202.65158,18.938362,14.742526,-2.4682086,-0.32084051,40.197308,3.7802708,2,0.78909689,0.081635967,0.21090311,151.52428,0.39744279,-3.3632445,22.0741,3.3632445,33.825527,81.401527,143.17329,20.82876,122.19517,726.95996,81.401527,0.63636363,0.3888889,19.86466,49.992279,167.06511,9650,11.195508,6,27.877586,1.0206779,7,84,20.358253,0.24202083,18.439579,260,24.368896,46.382717,28,20.110783,38.860714,18,835.6615,70.572739,33,3,3,7,37.801331,6.7548876,39,54,6,52,6,6,13,3,2,13.566921,5,3,-6.12
4.9400001,-8.8203001,15.808495,-0.21784224,0.092676349,0,0.58285028,0.14680316,12.455561,-7.8014498,2.7158818,-0.47530657,9.3325148,13.608256,2.0867555,-0.49007797,0.043855675,77.697189,0.4415786,-2.7127059,202.65158,18.938362,14.742526,-2.4592972,-0.32114303,40.197308,3.7744868,2,0.78909689,0.081529588,0.21090311,151.52428,0.38937762,-3.3633904,22.0741,3.3633904,33.825527,81.401527,143.17329,20.82876,122.19517,726.95996,81.401527,0.63636363,0.3888889,19.86466,49.992279,167.06511,9630,11.196175,6,27.877586,1.0206338,7,84,20.358253,0.24202083,18.439579,260,24.368896,46.382717,28,20.110783,38.860714,18,835.6615,70.572739,33,3,3,7,37.801331,6.7548876,39,54,6,52,6,6,13,3,2,13.566921,5,3,-5.89
5.1370001,-8.7143097,15.808495,-0.21689363,0.090432346,0,0.56275046,0.13765125,12.477889,-8.1990976,2.7189193,-0.46108758,9.3327312,13.608256,2.1221468,-0.47653648,0.042893041,77.697189,0.43189821,-2.7320607,202.65158,19.328705,14.742526,-2.4758353,-0.30990374,40.197308,3.7726858,2,0.80467749,0.079667769,0.19532248,145.84171,0.38675478,-3.4463248,22.23077,3.4463248,33.825527,81.401527,143.17329,20.82876,125.28875,740.987,81.401527,0.63636363,0.3888889,20.327391,49.992279,167.06511,10009,11.252588,6,28.877586,1.0206773,7,88,20.812668,0.23842676,18.439579,266,24.796417,47.375866,28,20.56572,39.730957,18,856.73828,70.572739,34,3,3,7,40.925644,6.7813597,40,55,6,53,6,6,13,3,2,13.566921,6,4,-6.02
5.1370001,-8.7143097,15.808495,-0.21551289,0.09044186,0,0.56303149,0.1377418,12.478225,-8.2005329,2.7166679,-0.45969206,9.3327322,13.608256,2.1270418,-0.47545156,0.042950295,77.697189,0.43199068,-2.7229962,202.65158,19.328705,14.742526,-2.4679489,-0.30974722,40.197308,3.7666883,2,0.80467749,0.07956364,0.19532248,145.84171,0.38641202,-3.4464877,22.23077,3.4464877,33.825527,81.401527,143.17329,20.82876,125.28875,740.987,81.401527,0.63636363,0.3888889,20.327391,49.992279,167.06511,9992,11.253344,6,28.877586,1.0206331,7,88,20.812668,0.23842676,18.439579,266,24.796417,47.375866,28,20.56572,39.730957,18,856.73828,70.572739,34,3,3,7,40.925644,6.7813597,40,55,6,53,6,6,13,3,2,13.566921,6,4,-5.82
5.1370001,-8.7143097,15.808495,-0.21588673,0.09044186,0,0.56364185,0.13838093,12.478223,-8.2005186,2.717972,-0.46152717,9.3327322,13.608256,2.1239085,-0.47597057,0.043488272,77.697189,0.43242347,-2.7236719,202.65158,19.328705,14.742526,-2.4686189,-0.31010997,40.197308,3.772558,2,0.80467749,0.07956364,0.19532248,145.84171,0.38646603,-3.4464877,22.23077,3.4464877,33.825527,81.401527,143.17329,20.82876,125.28875,740.987,81.401527,0.63636363,0.3888889,20.327391,49.992279,167.06511,10005,11.252579,6,28.877586,1.0206338,7,88,20.812668,0.23842676,18.439579,266,24.796417,47.375866,28,20.56572,39.730957,18,856.73828,70.572739,34,3,3,7,40.925644,6.7813597,40,55,6,53,6,6,13,3,2,13.566921,6,4,-5.88
5.3340001,-8.6083202,15.808495,-0.20838208,0.088313013,0,0.54008973,0.1279964,12.500811,-8.5989008,2.7197008,-0.43912184,9.3329477,13.608256,2.1647811,-0.45936254,0.041448314,77.697189,0.41852248,-2.7327073,202.65158,19.719049,14.742526,-2.4762423,-0.29497853,40.197308,3.7649143,2,0.81912345,0.077219523,0.18087657,140.15913,0.38036171,-3.5295677,22.3925,3.5295677,33.825527,81.401527,143.17329,20.82876,128.38234,755.01398,81.401527,0.63636363,0.3888889,20.790119,49.992279,167.06511,10372,11.308639,6,29.877586,1.0206331,7,92,21.267082,0.23494832,18.439579,272,25.223938,48.369259,28,21.020418,40.6012,18,877.815,70.572739,35,3,3,7,44.049957,6.8073549,41,56,6,54,6,6,13,3,2,13.566921,5,3,-6.24
5.1370001,-8.7143097,15.808495,-0.2155181,0.090432316,0,0.56363153,0.13711824,12.477974,-8.1995106,2.7165568,-0.46030846,9.3327312,13.608256,2.1273618,-0.47525889,0.043242972,77.697189,0.43304425,-2.7284334,202.65158,19.328705,14.742526,-2.4724531,-0.31028131,40.197308,3.7667177,2,0.80467749,0.079567373,0.19532248,145.84171,0.38707954,-3.446326,22.23077,3.446326,33.825527,81.401527,143.17329,20.82876,125.28875,740.987,81.401527,0.63636363,0.3888889,20.327391,49.992279,167.06511,9990,11.253336,6,28.877586,1.0206616,7,88,20.812668,0.23842676,18.439579,266,24.796417,47.375866,28,20.56572,39.730957,18,856.73828,70.572739,34,3,3,7,40.925644,6.7813597,40,55,6,53,6,6,13,3,2,13.566921,6,4,-5.42
