logP(o/w),logS,PEOE_VSA+1,GCUT_SMR_1,PEOE_RPC-,BCUT_PEOE_2,BCUT_SLOGP_1,BCUT_SMR_2,h_log_pbo,GCUT_SMR_2,h_logS,h_ema,rsynth,balabanJ,BCUT_PEOE_1,BCUT_SLOGP_3,BCUT_SMR_1,chi1v_C,chi1_C,GCUT_PEOE_2,chi1v,PEOE_RPC+,PEOE_VSA_NEG,SMR_VSA5,BCUT_SMR_0,BCUT_SLOGP_2,PEOE_VSA+3,BCUT_PEOE_0,PEOE_VSA_FPOS,VDistEq,SlogP_VSA4,PEOE_VSA_FNEG,weinerPath,SMR,PEOE_VSA-0,petitjean,PEOE_PC-,petitjeanSC,lip_violation,Kier2,vsa_acc,Weight,PEOE_PC+,chi1,weinerPol,SMR_VSA0,apol,chi0_C,h_mr,VDistMa,zagreb,chi0,opr_violation,SlogP_VSA2,mr,VAdjEq,SMR_VSA6,vdw_vol,diameter,vsa_other,SlogP_VSA3,PEOE_VSA-5,Kier1,SlogP_VSA7,b_max1len,b_ar,a_aro,b_double,a_hyd,a_nO,VAdjMa,opr_brigid,h_pstates,b_heavy,rings,a_nN,a_heavy,SlogP_VSA1,lip_acc,a_nC,a_acc,opr_nring,ast_violation_ext,PEOE_VSA-3,ast_violation,logPapp
0.69800001,-4.8191199,0.0,-0.17525758,0.095303386,0.27325431,-0.31821072,0.36762673,6.0806718,0.05693607,-5.2883983,12.9718,0.18604651,2.502291,-0.35430011,2.7197211,-0.15542245,9.1410646,9.4290876,-0.008268531,15.579261,0.074991398,95.270432,113.21043,-2.4496763,0.26831076,125.11412,-2.704371,0.85043454,3.5938575,4.4107962,0.14956547,5871.0,16.05184,0.0,0.33333334,-3.6624703,0.5,2.0,19.611666,83.905281,608.78101,3.6624703,20.351881,71.0,154.17319,99.687233,21.836134,16.511478,10.643646,208.0,32.266857,3.0,170.10106,16.342157,0.27608413,144.67685,685.58807,15.0,77.697189,113.12415,81.401527,39.179752,0.0,4.0,0.0,0.0,6.0,24.0,7.0,6.4594316,22.0,1.0,44.0,2.0,6.0,43.0,44.049957,13.0,30.0,7.0,1.0,4.0,0.0,2.0,-7.13
2.619,-6.2358999,0.0,-0.20483547,0.093999892,0.38055056,-0.41433126,0.49782643,6.0808272,0.11255409,-6.2989364,11.619132,0.20454545,2.4991341,-0.43053222,2.7198551,-0.27038828,10.848171,11.136194,0.038266178,16.589445,0.082826011,92.766678,169.81564,-2.4518719,0.34096614,67.397217,-2.7084806,0.85806698,3.651711,4.4107962,0.14193302,6304.0,16.81674,0.0,0.375,-3.3160331,0.60000002,2.0,20.384842,81.401527,620.836,3.3160331,20.851881,72.0,143.17329,105.07241,23.250347,17.240173,10.707211,212.0,32.973961,3.0,159.10117,17.086256,0.27128488,123.7506,711.98163,16.0,77.697189,92.197891,81.401527,40.175804,0.0,5.0,0.0,0.0,6.0,26.0,6.0,6.4918532,22.0,1.0,45.0,2.0,6.0,44.0,44.049957,12.0,32.0,6.0,1.0,4.0,0.0,2.0,-5.32
2.5680001,-6.4443798,0.0,-0.21078044,0.093967497,0.47871363,-0.43515745,0.60577339,9.1456461,0.14543712,-6.8644228,11.609864,0.23913044,1.9782113,-0.49371687,2.7197387,-0.33372241,10.905302,12.153832,0.056861632,16.646574,0.08279746,171.80914,219.86594,-2.4489498,0.4343276,67.397217,-2.7033591,0.73889655,3.6859531,7.5963712,0.26110345,7055.0,17.41264,79.042473,0.375,-3.3171763,0.60000002,2.0,20.0,81.401527,640.82599,3.3171763,21.869518,76.0,143.17329,105.92524,24.241911,17.881136,10.835624,228.0,33.965527,3.0,159.10117,17.740303,0.26638746,105.31101,741.04218,16.0,77.697189,73.758316,81.401527,40.429688,88.215919,4.0,6.0,6.0,6.0,28.0,6.0,6.5849624,28.0,1.0,48.0,3.0,6.0,46.0,44.049957,12.0,34.0,6.0,2.0,4.0,0.0,2.0,-5.45
2.925,-6.8508501,0.0,-0.21033214,0.09399987,0.40221053,-0.43043301,0.51568484,6.0808182,0.1178856,-6.6802778,11.618484,0.23913044,1.9779174,-0.44012499,2.8738699,-0.28231123,11.865809,12.153832,0.048166495,17.607082,0.082825989,92.766678,207.55246,-2.5598412,0.35708925,67.397217,-2.815345,0.85901976,3.6859531,8.8215923,0.14098026,7055.0,17.52174,0.0,0.375,-3.3160341,0.60000002,2.0,20.0,81.401527,646.87396,3.3160341,21.869518,76.0,143.17329,109.92599,24.241911,17.979113,10.835624,228.0,33.965527,3.0,159.10117,17.808071,0.26638746,123.7506,741.04218,16.0,77.697189,92.197891,81.401527,40.429688,0.0,4.0,0.0,0.0,6.0,28.0,6.0,6.5849624,28.0,1.0,48.0,3.0,6.0,46.0,44.049957,12.0,34.0,6.0,2.0,4.0,0.0,2.0,-5.04
1.517,-5.4478302,0.0,-0.20769975,0.096401595,0.39138088,-0.42268208,0.5067566,6.0807915,0.11521977,-5.7929239,13.03308,0.065217391,1.9779174,-0.43533766,2.7350323,-0.2763505,10.865809,11.153832,0.04321694,17.184433,0.074841477,95.270432,150.94725,-2.5149202,0.34902769,67.397217,-2.7634301,0.85503739,3.6859531,8.8215923,0.14496258,7055.0,17.21854,0.0,0.375,-3.669807,0.60000002,2.0,20.0,83.905281,648.84601,3.669807,21.869518,76.0,154.17319,107.63441,23.534805,17.704821,10.835624,228.0,33.965527,3.0,170.10106,17.529099,0.26638746,165.6031,733.17609,16.0,77.697189,134.05042,81.401527,40.429688,0.0,4.0,0.0,0.0,6.0,27.0,7.0,6.5849624,28.0,1.0,48.0,3.0,6.0,46.0,44.049957,13.0,33.0,7.0,2.0,4.0,0.0,2.0,-7.27
2.112,-6.0513301,0.0,-0.17340583,0.095303357,0.27325103,-0.31752324,0.36759505,6.080667,0.056925289,-6.2103257,12.970255,0.17391305,2.5771441,-0.35411495,2.7198024,-0.15539965,10.534912,10.822934,-0.008272165,16.973108,0.074991375,95.270432,132.07884,-2.4527905,0.26831058,125.11412,-2.7085001,0.86079854,3.6427929,8.8215923,0.13920143,6969.0,17.429939,0.0,0.375,-3.6624715,0.60000002,2.0,21.269531,83.905281,650.862,3.6624715,21.745728,75.0,154.17319,108.96799,24.120592,17.874634,10.842501,222.0,34.551311,3.0,170.10106,17.721796,0.26221824,144.67685,741.17047,16.0,77.697189,113.12415,81.401527,42.168404,0.0,4.0,0.0,0.0,6.0,27.0,7.0,6.5545888,22.0,1.0,47.0,2.0,6.0,46.0,44.049957,13.0,33.0,7.0,1.0,4.0,0.0,2.0,-5.55
2.6559999,-6.5058498,15.808495,-0.21069553,0.093185842,0.47862598,-0.43386999,0.60560375,9.1457405,0.14522409,-7.046905,11.616331,0.25531915,1.9541351,-0.49271366,2.7197244,-0.33363962,11.405302,12.653832,0.056850106,17.146574,0.082108729,174.01768,220.29475,-2.4496138,0.43428934,67.397217,-2.7045906,0.7417447,3.7636039,7.5963712,0.25825533,7617.0,17.878839,81.251015,0.41176471,-3.3450012,0.69999999,2.0,20.750725,81.401527,654.85297,3.3450012,22.369518,77.0,143.17329,109.01882,24.949018,18.335535,10.891866,232.0,34.672634,3.0,159.10117,18.208727,0.2619549,123.7506,759.56964,17.0,77.697189,92.197891,81.401527,41.421074,88.215919,4.0,6.0,6.0,6.0,29.0,6.0,6.6147099,28.0,1.0,49.0,3.0,6.0,47.0,44.049957,12.0,35.0,6.0,2.0,4.0,0.0,2.0,-7.4
4.033,-7.4681101,0.0,-0.2019701,0.093999863,0.38054568,-0.41327551,0.49777886,6.0808225,0.11253787,-7.2206979,11.617604,0.19148937,2.5798984,-0.43025172,2.7201099,-0.27035406,12.242019,12.530041,0.038260717,17.983292,0.082825981,92.766678,188.68405,-2.4573565,0.34096587,67.397217,-2.7154334,0.86766905,3.682657,8.8215923,0.13233095,7431.0,18.194839,0.0,0.375,-3.3160341,0.60000002,2.0,22.047337,81.401527,662.91699,3.3160341,22.245728,76.0,143.17329,114.35316,25.534805,18.603329,10.903396,226.0,35.258419,3.0,159.10117,18.462185,0.2579309,123.7506,767.56403,16.0,77.697189,92.197891,81.401527,43.164932,0.0,5.0,0.0,0.0,6.0,29.0,6.0,6.5849624,22.0,1.0,48.0,2.0,6.0,47.0,44.049957,12.0,35.0,6.0,1.0,4.0,0.0,2.0,-4.94
3.098,-6.7076201,0.0,-0.21066926,0.093120679,0.47861934,-0.43364218,0.60559356,9.1457682,0.14519575,-7.3552804,11.618258,0.27083334,1.9279361,-0.49264103,2.719734,-0.33363491,11.905302,13.153832,0.056837842,17.646574,0.082051307,174.01768,239.16316,-2.4502854,0.43428841,67.397217,-2.7058103,0.74766469,3.8432662,7.5963712,0.25233528,8226.0,18.34054,81.251015,0.44444445,-3.347342,0.80000001,2.0,21.507786,81.401527,668.88,3.347342,22.869518,78.0,143.17329,112.11241,25.656126,18.789925,10.945385,236.0,35.379742,3.0,159.10117,18.676847,0.25768197,123.7506,778.09711,18.0,77.697189,92.197891,81.401527,42.4128,88.215919,4.0,6.0,6.0,6.0,30.0,6.0,6.643856,28.0,1.0,50.0,3.0,6.0,48.0,44.049957,12.0,36.0,6.0,2.0,4.0,0.0,2.0,-5.16
2.352,-6.5212002,8.458519,-0.21122283,0.090155445,0.45244178,-0.46356815,0.608895,9.332592,0.13622434,-6.9135079,12.531088,0.27083334,1.9279361,-0.47735059,2.7197208,-0.31131887,11.051748,12.245584,0.055494044,17.28582,0.075418532,95.270432,201.42636,-2.4495771,0.48493725,89.455688,-2.7041864,0.86169118,3.8432662,4.4107962,0.13830881,8226.0,18.05794,0.0,0.44444445,-3.6417279,0.80000001,2.0,21.507786,83.905281,670.85199,3.6417279,22.869518,78.0,143.17329,109.82082,24.949018,18.54072,10.945385,236.0,35.379742,3.0,159.10117,18.393883,0.25768197,144.67685,770.23108,18.0,77.697189,113.12415,81.401527,42.4128,88.215919,4.0,6.0,6.0,6.0,29.0,7.0,6.643856,28.0,1.0,50.0,3.0,6.0,48.0,44.049957,13.0,35.0,7.0,2.0,4.0,0.0,2.0,-5.46
