logP(o/w),logS,SlogP,GCUT_PEOE_1,PEOE_VSA+1,GCUT_PEOE_0,h_logD,h_logP,GCUT_SMR_1,PEOE_RPC-,PEOE_VSA+0,density,GCUT_SLOGP_1,BCUT_PEOE_2,BCUT_SLOGP_1,BCUT_SMR_2,a_ICM,h_log_pbo,GCUT_SMR_2,h_logS,PEOE_VSA_FPNEG,h_ema,rsynth,BCUT_SMR_3,balabanJ,BCUT_SLOGP_0,BCUT_PEOE_1,SMR_VSA3,BCUT_SLOGP_3,PEOE_VSA_POS,BCUT_SMR_1,chi1v_C,chi1_C,GCUT_PEOE_2,GCUT_SMR_3,KierFlex,PEOE_VSA+2,a_IC,chi1v,h_emd_C,BCUT_PEOE_3,GCUT_SLOGP_2,h_emd,PEOE_RPC+,KierA2,PEOE_VSA_NEG,SMR_VSA5,BCUT_SMR_0,BCUT_SLOGP_2,PEOE_VSA+3,KierA3,KierA1,BCUT_PEOE_0,SMR_VSA1,PEOE_VSA_FPOS,GCUT_SLOGP_3,PEOE_VSA_FPPOS,SlogP_VSA9,VDistEq,vsa_pol,SlogP_VSA5,chi0v,SlogP_VSA4,PEOE_VSA_FNEG,PEOE_VSA_FHYD,SlogP_VSA8,bpol,b_rotR,weinerPath,opr_nrot,SMR,PEOE_VSA-0,Kier3,petitjean,PEOE_PC-,petitjeanSC,SMR_VSA7,GCUT_PEOE_3,lip_violation,b_1rotR,Kier2,vsa_acc,Weight,PEOE_PC+,chi1,b_single,weinerPol,PEOE_VSA_FPOL,SMR_VSA0,apol,chi0_C,h_mr,VDistMa,PEOE_VSA_PNEG,vsa_hyd,PEOE_VSA_HYD,zagreb,chi0,opr_violation,SlogP_VSA2,a_nH,TPSA,chi0v_C,mr,VAdjEq,b_count,SMR_VSA6,vdw_vol,diameter,h_pKb,a_count,PEOE_VSA_POL,PEOE_VSA+4,vsa_other,Q_VSA_HYD,SlogP_VSA3,b_1rotN,vdw_area,Q_VSA_POS,b_rotN,PEOE_VSA-5,Kier1,SlogP_VSA7,b_max1len,b_ar,a_aro,b_double,a_hyd,a_nO,h_pavgQ,VAdjMa,opr_brigid,h_pstates,b_heavy,PEOE_VSA_PPOS,rings,a_nN,a_heavy,SlogP_VSA1,h_pstrain,lip_acc,a_donacc,a_nC,a_acc,SMR_VSA4,opr_nring,ast_violation_ext,PEOE_VSA-3,radius,ast_violation,logPapp
0.69800001,-4.8191199,0.3673,-0.36313459,0.0,-0.84114361,2.9273059,2.9273059,-0.17525758,0.095303386,244.10176,0.81151497,-0.3403191,0.27325431,-0.31821072,0.36762673,1.529952,6.0806718,0.05693607,-5.2883983,0.14956547,12.9718,0.18604651,3.0037177,2.502291,-2.8475792,-0.35430011,15.927875,2.7197211,541.71106,-0.15542245,9.1410646,9.4290876,-0.008268531,3.4146163,13.7237,94.797981,145.34544,15.579261,18.037409,2.7498097,-0.007747143,23.011852,0.074991398,17.159147,95.270432,113.21043,-2.4496763,0.26831076,125.11412,10.156068,34.390934,-2.704371,12.497255,0.85043454,3.11396,0.12197715,166.63008,3.5938575,95.270432,68.281059,27.018625,4.4107962,0.14956547,0.72845739,113.21043,73.750763,0.20454545,5871.0,20.0,16.05184,0.0,11.634349,0.33333334,-3.6624703,0.5,234.91113,3.1865983,2.0,0.20454545,19.611666,83.905281,608.78101,3.6624703,20.351881,90.0,71.0,0.27154261,154.17319,99.687233,21.836134,16.511478,10.643646,95.270432,464.01385,464.01385,208.0,32.266857,3.0,170.10106,52.0,148.67,21.372032,16.342157,0.27608413,96.0,144.67685,685.58807,15.0,14.0,95.0,172.96762,0.0,77.697189,636.98145,113.12415,9.0,636.98145,636.98145,9.0,81.401527,39.179752,0.0,4.0,0.0,0.0,6.0,24.0,7.0,0.0,6.4594316,22.0,1.0,44.0,77.697189,2.0,6.0,43.0,44.049957,0.0,13.0,9.0,30.0,7.0,0.0,1.0,4.0,0.0,10.0,2.0,-7.13
2.619,-6.2358999,1.9111,-0.3600013,0.0,-0.84118432,4.4720125,4.4720125,-0.20483547,0.093999892,320.9357,0.79270023,-0.33921218,0.38055056,-0.41433126,0.49782643,1.481542,6.0808272,0.11255409,-6.2989364,0.14193302,11.619132,0.20454545,3.0038071,2.4991341,-2.8454397,-0.43053222,15.927875,2.7198551,560.82806,-0.27038828,10.848171,11.136194,0.038266178,3.4416833,14.385297,94.797981,148.15419,16.589445,16.809954,2.7498465,0.006879344,21.780376,0.082826011,17.893267,92.766678,169.81564,-2.4518719,0.34096614,67.397217,10.684562,35.37381,-2.7084806,12.497255,0.85806698,3.1529531,0.1188767,199.95609,3.651711,92.766678,32.897186,28.02459,4.4107962,0.14193302,0.73919028,169.81564,76.207588,0.22222222,6304.0,21.0,16.81674,0.0,12.198347,0.375,-3.3160331,0.60000002,232.85327,3.2136703,2.0,0.22222222,20.384842,81.401527,620.836,3.3160331,20.851881,95.0,72.0,0.26080972,143.17329,105.07241,23.250347,17.240173,10.707211,92.766678,483.13089,483.13089,212.0,32.973961,3.0,159.10117,56.0,139.44,22.786245,17.086256,0.27128488,101.0,123.7506,711.98163,16.0,14.0,100.0,170.46387,0.0,77.697189,653.59473,92.197891,10.0,653.59473,653.59473,10.0,81.401527,40.175804,0.0,5.0,0.0,0.0,6.0,26.0,6.0,0.0,6.4918532,22.0,1.0,45.0,77.697189,2.0,6.0,44.0,44.049957,0.0,12.0,8.0,32.0,6.0,0.0,1.0,4.0,0.0,10.0,2.0,-5.32
2.5680001,-6.4443798,2.1875,-0.37319475,0.0,-0.84114206,4.5759759,4.5759759,-0.21078044,0.093967497,246.31029,0.79403037,-0.33082852,0.47871363,-0.43515745,0.60577339,1.5084226,9.1456461,0.14543712,-6.8644228,0.14098026,11.609864,0.23913044,3.0036535,1.9782113,-2.8393779,-0.49371687,19.113449,2.7197387,486.20267,-0.33372241,10.905302,12.153832,0.056861632,3.4340346,12.316685,94.797981,147.82541,16.646574,17.497358,2.7497482,0.030880764,22.471258,0.08279746,16.707174,171.80914,219.86594,-2.4489498,0.4343276,67.397217,9.827837,33.911629,-2.7033591,12.497255,0.73889655,3.1455004,0.11807871,185.06966,3.6859531,92.766678,32.897186,28.290022,7.5963712,0.26110345,0.74094105,113.21043,71.834763,0.16666667,7055.0,19.0,17.41264,79.042473,11.798186,0.375,-3.3171763,0.60000002,199.52727,3.2012148,2.0,0.16666667,20.0,81.401527,640.82599,3.3171763,21.869518,88.0,76.0,0.25905895,143.17329,105.92524,24.241911,17.881136,10.835624,92.766678,487.54797,487.54797,228.0,33.965527,3.0,159.10117,52.0,139.44,23.051678,17.740303,0.26638746,100.0,105.31101,741.04218,16.0,14.0,98.0,170.46387,0.0,77.697189,658.01184,73.758316,8.0,658.01184,658.01184,8.0,81.401527,40.429688,88.215919,4.0,6.0,6.0,6.0,28.0,6.0,0.0,6.5849624,28.0,1.0,48.0,77.697189,3.0,6.0,46.0,44.049957,0.0,12.0,8.0,34.0,6.0,0.0,2.0,4.0,0.0,10.0,2.0,-5.45
2.925,-6.8508501,2.3011999,-0.36372086,0.0,-0.84117377,4.7080688,4.7080688,-0.21033214,0.09399987,325.35275,0.79403037,-0.33787382,0.40221053,-0.43043301,0.51568484,1.4720149,6.0808182,0.1178856,-6.6802778,0.14098026,11.618484,0.23913044,3.0153117,1.9779174,-2.8512707,-0.44012499,15.927875,2.8738699,565.24518,-0.28231123,11.865809,12.153832,0.048166495,3.4938211,13.745807,94.797981,153.08955,17.607082,16.922306,2.759223,0.012684402,21.892971,0.082825989,17.661222,92.766678,207.55246,-2.5598412,0.35708925,67.397217,10.398329,35.801998,-2.815345,12.497255,0.85901976,3.2178185,0.11807871,166.63008,3.6859531,92.766678,32.897186,29.016153,8.8215923,0.14098026,0.74094105,207.55246,78.394005,0.16666667,7055.0,21.0,17.52174,0.0,11.798186,0.375,-3.3160341,0.60000002,199.52727,3.2663517,2.0,0.16666667,20.0,81.401527,646.87396,3.3160341,21.869518,100.0,76.0,0.25905895,143.17329,109.92599,24.241911,17.979113,10.835624,92.766678,487.54797,487.54797,228.0,33.965527,3.0,159.10117,58.0,139.44,23.777811,17.808071,0.26638746,106.0,123.7506,741.04218,16.0,14.0,104.0,170.46387,0.0,77.697189,658.01184,92.197891,8.0,658.01184,658.01184,8.0,81.401527,40.429688,0.0,4.0,0.0,0.0,6.0,28.0,6.0,0.0,6.5849624,28.0,1.0,48.0,77.697189,3.0,6.0,46.0,44.049957,0.0,12.0,8.0,34.0,6.0,0.0,2.0,4.0,0.0,10.0,2.0,-5.04
1.517,-5.4478302,1.1475,-0.36224505,0.0,-0.84117877,3.1155961,3.1155961,-0.20769975,0.096401595,277.92728,0.80798864,-0.34101102,0.39138088,-0.42268208,0.5067566,1.5073456,6.0807915,0.11521977,-5.7929239,0.14496258,13.03308,0.065217391,3.0045717,1.9779174,-2.8536637,-0.43533766,15.927875,2.7350323,561.93665,-0.2763505,10.865809,11.153832,0.04321694,3.477268,13.745807,138.91493,153.74924,17.184433,18.327057,2.7506242,0.009781846,23.298405,0.074841477,17.661222,95.270432,150.94725,-2.5149202,0.34902769,67.397217,10.398329,35.801998,-2.7634301,12.497255,0.85503739,3.1866066,0.1182233,166.63008,3.6859531,95.270432,32.897186,28.717297,8.8215923,0.14496258,0.73681414,150.94725,78.123589,0.16666667,7055.0,21.0,17.21854,0.0,11.798186,0.375,-3.669807,0.60000002,199.52727,3.2504058,2.0,0.16666667,20.0,83.905281,648.84601,3.669807,21.869518,98.0,76.0,0.26318589,154.17319,107.63441,23.534805,17.704821,10.835624,95.270432,484.23944,484.23944,228.0,33.965527,3.0,170.10106,56.0,148.67,23.070704,17.529099,0.26638746,104.0,165.6031,733.17609,16.0,14.0,102.0,172.96762,0.0,77.697189,657.20703,134.05042,8.0,657.20703,657.20703,8.0,81.401527,40.429688,0.0,4.0,0.0,0.0,6.0,27.0,7.0,0.0,6.5849624,28.0,1.0,48.0,77.697189,3.0,6.0,46.0,44.049957,0.0,13.0,9.0,33.0,7.0,0.0,2.0,4.0,0.0,10.0,2.0,-7.27
2.112,-6.0513301,1.3935,-0.35684344,0.0,-0.8411451,4.2402339,4.2402339,-0.17340583,0.095303357,291.52725,0.79927361,-0.32938939,0.27325103,-0.31752324,0.36759505,1.4947747,6.080667,0.056925289,-6.2103257,0.13920143,12.970255,0.17391305,3.0042858,2.5771441,-2.8526464,-0.35411495,15.927875,2.7198024,589.13654,-0.15539965,10.534912,10.822934,-0.008272165,3.476531,15.247018,94.797981,155.45657,16.973108,18.099377,2.7502851,-0.007747234,23.079084,0.074991375,18.782297,95.270432,132.07884,-2.4527905,0.26831058,125.11412,11.464157,37.341698,-2.7085001,12.497255,0.86079854,3.1829703,0.11352483,199.95609,3.6427929,95.270432,68.281059,29.303082,8.8215923,0.13920143,0.74727374,132.07884,80.310005,0.23404256,6969.0,22.0,17.429939,0.0,13.0075,0.375,-3.6624715,0.60000002,268.23715,3.2495334,2.0,0.23404256,21.269531,83.905281,650.862,3.6624715,21.745728,99.0,75.0,0.25272629,154.17319,108.96799,24.120592,17.874634,10.842501,95.270432,511.43933,511.43933,222.0,34.551311,3.0,170.10106,58.0,148.67,23.65649,17.721796,0.26221824,105.0,144.67685,741.17047,16.0,14.0,104.0,172.96762,0.0,77.697189,684.40698,113.12415,11.0,684.40698,684.40698,11.0,81.401527,42.168404,0.0,4.0,0.0,0.0,6.0,27.0,7.0,0.0,6.5545888,22.0,1.0,47.0,77.697189,2.0,6.0,46.0,44.049957,0.0,13.0,9.0,33.0,7.0,0.0,1.0,4.0,0.0,10.0,2.0,-5.55
2.6559999,-6.5058498,1.96357,-0.36566639,15.808495,-0.84116381,4.7660146,4.7660146,-0.21069553,0.093185842,244.10176,0.79047519,-0.33881968,0.47862598,-0.43386999,0.60560375,1.4967424,9.1457405,0.14522409,-7.046905,0.13767272,11.616331,0.25531915,3.0037298,1.9541351,-2.8457327,-0.49271366,19.113449,2.7197244,499.80264,-0.33363962,11.405302,12.653832,0.056850106,3.4447863,12.916645,94.797981,151.17097,17.146574,17.804174,2.7497966,0.030880576,22.775648,0.082108729,17.405302,174.01768,220.29475,-2.4496138,0.43428934,67.397217,10.31032,34.879162,-2.7045906,12.497255,0.7417447,3.1501942,0.11530846,166.63008,3.7636039,92.766678,51.765594,28.997128,7.5963712,0.25825533,0.74701881,113.21043,74.021179,0.18367347,7617.0,20.0,17.878839,81.251015,12.32609,0.41176471,-3.3450012,0.69999999,199.52727,3.2130396,2.0,0.18367347,20.750725,81.401527,654.85297,3.3450012,22.369518,91.0,77.0,0.25298119,143.17329,109.01882,24.949018,18.335535,10.891866,92.766678,503.35645,503.35645,232.0,34.672634,3.0,159.10117,54.0,139.44,23.758783,18.208727,0.2619549,103.0,123.7506,759.56964,17.0,14.0,101.0,170.46387,0.0,77.697189,673.82031,92.197891,9.0,673.82031,673.82031,9.0,81.401527,41.421074,88.215919,4.0,6.0,6.0,6.0,29.0,6.0,0.0,6.6147099,28.0,1.0,49.0,77.697189,3.0,6.0,47.0,44.049957,0.0,12.0,8.0,35.0,6.0,0.0,2.0,4.0,0.0,10.0,2.0,-7.4
4.033,-7.4681101,2.9373,-0.3551023,0.0,-0.84118283,5.7847042,5.7847042,-0.2019701,0.093999863,368.36118,0.78224218,-0.30995455,0.38054568,-0.41327551,0.49777886,1.4497932,6.0808225,0.11253787,-7.2206979,0.13233095,11.617604,0.19148937,3.0044229,2.5798984,-2.8501966,-0.43025172,15.927875,2.7201099,608.25354,-0.27035406,12.242019,12.530041,0.038260717,3.5052679,15.92083,94.797981,158.02747,17.983292,16.872734,2.750344,0.006879207,21.848457,0.082825981,19.523741,92.766678,188.68405,-2.4573565,0.34096587,67.397217,11.997124,38.326618,-2.7154334,12.497255,0.86766905,3.2242496,0.11083444,233.2821,3.682657,92.766678,32.897186,30.309048,8.8215923,0.13233095,0.75683463,188.68405,82.76683,0.25,7431.0,23.0,18.194839,0.0,13.573541,0.375,-3.3160341,0.60000002,266.17929,3.2782614,2.0,0.25,22.047337,81.401527,662.91699,3.3160341,22.245728,104.0,76.0,0.2431654,143.17329,114.35316,25.534805,18.603329,10.903396,92.766678,530.5564,530.5564,226.0,35.258419,3.0,159.10117,62.0,139.44,25.070704,18.462185,0.2579309,110.0,123.7506,767.56403,16.0,14.0,109.0,170.46387,0.0,77.697189,701.0202,92.197891,12.0,701.0202,701.0202,12.0,81.401527,43.164932,0.0,5.0,0.0,0.0,6.0,29.0,6.0,0.0,6.5849624,22.0,1.0,48.0,77.697189,2.0,6.0,47.0,44.049957,0.0,12.0,8.0,35.0,6.0,0.0,1.0,4.0,0.0,10.0,2.0,-4.94
3.098,-6.7076201,2.3536699,-0.36520597,0.0,-0.84118021,4.9970903,4.9970903,-0.21066926,0.093120679,275.71875,0.78708935,-0.33503491,0.47861934,-0.43364218,0.60559356,1.4855481,9.1457682,0.14519575,-7.3552804,0.13451682,11.618258,0.27083334,3.0037732,1.9279361,-2.8455672,-0.49264103,19.113449,2.719734,515.61115,-0.33363491,11.905302,13.153832,0.056837842,3.4536633,13.525812,94.797981,154.49701,17.646574,17.963953,2.749825,0.030880526,22.934704,0.082051307,18.110914,174.01768,239.16316,-2.4502854,0.43428841,67.397217,10.813179,35.847942,-2.7058103,12.497255,0.74766469,3.1631913,0.11266523,166.63008,3.8432662,92.766678,51.765594,29.704235,7.5963712,0.25233528,0.75281793,132.07884,76.207588,0.2,8226.0,21.0,18.34054,81.251015,12.874527,0.44444445,-3.347342,0.80000001,199.52727,3.2228363,2.0,0.2,21.507786,81.401527,668.88,3.347342,22.869518,94.0,78.0,0.24718204,143.17329,112.11241,25.656126,18.789925,10.945385,92.766678,519.16498,519.16498,236.0,35.379742,3.0,159.10117,56.0,139.44,24.465891,18.676847,0.25768197,106.0,123.7506,778.09711,18.0,14.0,104.0,170.46387,0.0,77.697189,689.62885,92.197891,10.0,689.62885,689.62885,10.0,81.401527,42.4128,88.215919,4.0,6.0,6.0,6.0,30.0,6.0,0.0,6.643856,28.0,1.0,50.0,77.697189,3.0,6.0,48.0,44.049957,0.0,12.0,8.0,36.0,6.0,0.0,2.0,4.0,0.0,10.0,2.0,-5.16
2.352,-6.5212002,1.7999001,-0.37225157,8.458519,-0.84114265,4.477097,4.477097,-0.21122283,0.090155445,323.14423,0.80030531,-0.34216866,0.45244178,-0.46356815,0.608895,1.5209539,9.332592,0.13622434,-6.9135079,0.13830881,12.531088,0.27083334,3.0037148,1.9279361,-2.8478303,-0.47735059,21.171303,2.7197208,593.55359,-0.31131887,11.051748,12.245584,0.055494044,3.4335332,13.525812,94.797981,155.1373,17.28582,18.827959,2.7498085,0.042508572,23.80345,0.075418532,18.110914,95.270432,201.42636,-2.4495771,0.48493725,89.455688,10.813179,35.847942,-2.7041864,23.497143,0.86169118,3.1365392,0.11279686,171.8735,3.8432662,95.270432,32.897186,29.405376,4.4107962,0.13830881,0.74889433,113.21043,75.93718,0.2,8226.0,21.0,18.05794,0.0,12.874527,0.44444445,-3.6417279,0.80000001,199.52727,3.203598,2.0,0.2,21.507786,83.905281,670.85199,3.6417279,22.869518,92.0,78.0,0.25110567,143.17329,109.82082,24.949018,18.54072,10.945385,95.270432,515.85645,515.85645,236.0,35.379742,3.0,159.10117,54.0,148.67,23.758783,18.393883,0.25768197,104.0,144.67685,770.23108,18.0,14.0,102.0,172.96762,0.0,77.697189,688.82404,113.12415,10.0,688.82404,688.82404,10.0,81.401527,42.4128,88.215919,4.0,6.0,6.0,6.0,29.0,7.0,0.0,6.643856,28.0,1.0,50.0,77.697189,3.0,6.0,48.0,44.049957,0.0,13.0,9.0,35.0,7.0,0.0,2.0,4.0,0.0,10.0,2.0,-5.46
