logP(o/w),logS,PEOE_VSA+1,GCUT_SMR_1,PEOE_RPC-,rsynth,BCUT_SMR_2,BCUT_SLOGP_3,GCUT_SMR_2,h_logS,h_ema,BCUT_SLOGP_1,h_log_pbo,chi1v_C,BCUT_PEOE_1,balabanJ,chi1v,GCUT_PEOE_2,SMR_VSA5,BCUT_PEOE_2,chi1_C,BCUT_SMR_0,BCUT_PEOE_0,PEOE_VSA+3,vsa_other,BCUT_SMR_1,VDistEq,PEOE_VSA_NEG,PEOE_VSA_FPOS,BCUT_SLOGP_2,PEOE_VSA_FNEG,Kier2,PEOE_RPC+,vsa_acc,PEOE_VSA-0,lip_violation,PEOE_PC-,SMR_VSA0,SlogP_VSA4,PEOE_PC+,Weight,apol,PEOE_VSA-5,weinerPath,SMR,petitjeanSC,SMR_VSA6,petitjean,SlogP_VSA2,b_double,chi1,h_mr,VDistMa,zagreb,chi0_C,weinerPol,a_nO,opr_violation,h_pstates,VAdjEq,opr_brigid,SlogP_VSA3,Kier1,mr,chi0,vdw_vol,diameter,a_hyd,SlogP_VSA7,b_max1len,SlogP_VSA1,a_acc,VAdjMa,a_nC,b_heavy,a_aro,a_heavy,b_ar,a_nN,lip_acc,rings,opr_nring,ast_violation,ast_violation_ext,PEOE_VSA-3,logPapp
0.69800001,-4.8191199,0.0,-0.17525758,0.095303386,0.18604651,0.36762673,2.7197211,0.05693607,-5.2883983,12.9718,-0.31821072,6.0806718,9.1410646,-0.35430011,2.502291,15.579261,-0.008268531,113.21043,0.27325431,9.4290876,-2.4496763,-2.704371,125.11412,77.697189,-0.15542245,3.5938575,95.270432,0.85043454,0.26831076,0.14956547,19.611666,0.074991398,83.905281,0.0,2.0,-3.6624703,154.17319,4.4107962,3.6624703,608.78101,99.687233,81.401527,5871.0,16.05184,0.5,144.67685,0.33333334,170.10106,6.0,20.351881,16.511478,10.643646,208.0,21.836134,71.0,7.0,3.0,1.0,0.27608413,22.0,113.12415,39.179752,16.342157,32.266857,685.58807,15.0,24.0,0.0,4.0,44.049957,7.0,6.4594316,30.0,44.0,0.0,43.0,0.0,6.0,13.0,2.0,1.0,2.0,4.0,0.0,-7.13
2.619,-6.2358999,0.0,-0.20483547,0.093999892,0.20454545,0.49782643,2.7198551,0.11255409,-6.2989364,11.619132,-0.41433126,6.0808272,10.848171,-0.43053222,2.4991341,16.589445,0.038266178,169.81564,0.38055056,11.136194,-2.4518719,-2.7084806,67.397217,77.697189,-0.27038828,3.651711,92.766678,0.85806698,0.34096614,0.14193302,20.384842,0.082826011,81.401527,0.0,2.0,-3.3160331,143.17329,4.4107962,3.3160331,620.836,105.07241,81.401527,6304.0,16.81674,0.60000002,123.7506,0.375,159.10117,6.0,20.851881,17.240173,10.707211,212.0,23.250347,72.0,6.0,3.0,1.0,0.27128488,22.0,92.197891,40.175804,17.086256,32.973961,711.98163,16.0,26.0,0.0,5.0,44.049957,6.0,6.4918532,32.0,45.0,0.0,44.0,0.0,6.0,12.0,2.0,1.0,2.0,4.0,0.0,-5.32
2.5680001,-6.4443798,0.0,-0.21078044,0.093967497,0.23913044,0.60577339,2.7197387,0.14543712,-6.8644228,11.609864,-0.43515745,9.1456461,10.905302,-0.49371687,1.9782113,16.646574,0.056861632,219.86594,0.47871363,12.153832,-2.4489498,-2.7033591,67.397217,77.697189,-0.33372241,3.6859531,171.80914,0.73889655,0.4343276,0.26110345,20.0,0.08279746,81.401527,79.042473,2.0,-3.3171763,143.17329,7.5963712,3.3171763,640.82599,105.92524,81.401527,7055.0,17.41264,0.60000002,105.31101,0.375,159.10117,6.0,21.869518,17.881136,10.835624,228.0,24.241911,76.0,6.0,3.0,1.0,0.26638746,28.0,73.758316,40.429688,17.740303,33.965527,741.04218,16.0,28.0,88.215919,4.0,44.049957,6.0,6.5849624,34.0,48.0,6.0,46.0,6.0,6.0,12.0,3.0,2.0,2.0,4.0,0.0,-5.45
2.925,-6.8508501,0.0,-0.21033214,0.09399987,0.23913044,0.51568484,2.8738699,0.1178856,-6.6802778,11.618484,-0.43043301,6.0808182,11.865809,-0.44012499,1.9779174,17.607082,0.048166495,207.55246,0.40221053,12.153832,-2.5598412,-2.815345,67.397217,77.697189,-0.28231123,3.6859531,92.766678,0.85901976,0.35708925,0.14098026,20.0,0.082825989,81.401527,0.0,2.0,-3.3160341,143.17329,8.8215923,3.3160341,646.87396,109.92599,81.401527,7055.0,17.52174,0.60000002,123.7506,0.375,159.10117,6.0,21.869518,17.979113,10.835624,228.0,24.241911,76.0,6.0,3.0,1.0,0.26638746,28.0,92.197891,40.429688,17.808071,33.965527,741.04218,16.0,28.0,0.0,4.0,44.049957,6.0,6.5849624,34.0,48.0,0.0,46.0,0.0,6.0,12.0,3.0,2.0,2.0,4.0,0.0,-5.04
1.517,-5.4478302,0.0,-0.20769975,0.096401595,0.065217391,0.5067566,2.7350323,0.11521977,-5.7929239,13.03308,-0.42268208,6.0807915,10.865809,-0.43533766,1.9779174,17.184433,0.04321694,150.94725,0.39138088,11.153832,-2.5149202,-2.7634301,67.397217,77.697189,-0.2763505,3.6859531,95.270432,0.85503739,0.34902769,0.14496258,20.0,0.074841477,83.905281,0.0,2.0,-3.669807,154.17319,8.8215923,3.669807,648.84601,107.63441,81.401527,7055.0,17.21854,0.60000002,165.6031,0.375,170.10106,6.0,21.869518,17.704821,10.835624,228.0,23.534805,76.0,7.0,3.0,1.0,0.26638746,28.0,134.05042,40.429688,17.529099,33.965527,733.17609,16.0,27.0,0.0,4.0,44.049957,7.0,6.5849624,33.0,48.0,0.0,46.0,0.0,6.0,13.0,3.0,2.0,2.0,4.0,0.0,-7.27
2.112,-6.0513301,0.0,-0.17340583,0.095303357,0.17391305,0.36759505,2.7198024,0.056925289,-6.2103257,12.970255,-0.31752324,6.080667,10.534912,-0.35411495,2.5771441,16.973108,-0.008272165,132.07884,0.27325103,10.822934,-2.4527905,-2.7085001,125.11412,77.697189,-0.15539965,3.6427929,95.270432,0.86079854,0.26831058,0.13920143,21.269531,0.074991375,83.905281,0.0,2.0,-3.6624715,154.17319,8.8215923,3.6624715,650.862,108.96799,81.401527,6969.0,17.429939,0.60000002,144.67685,0.375,170.10106,6.0,21.745728,17.874634,10.842501,222.0,24.120592,75.0,7.0,3.0,1.0,0.26221824,22.0,113.12415,42.168404,17.721796,34.551311,741.17047,16.0,27.0,0.0,4.0,44.049957,7.0,6.5545888,33.0,47.0,0.0,46.0,0.0,6.0,13.0,2.0,1.0,2.0,4.0,0.0,-5.55
2.6559999,-6.5058498,15.808495,-0.21069553,0.093185842,0.25531915,0.60560375,2.7197244,0.14522409,-7.046905,11.616331,-0.43386999,9.1457405,11.405302,-0.49271366,1.9541351,17.146574,0.056850106,220.29475,0.47862598,12.653832,-2.4496138,-2.7045906,67.397217,77.697189,-0.33363962,3.7636039,174.01768,0.7417447,0.43428934,0.25825533,20.750725,0.082108729,81.401527,81.251015,2.0,-3.3450012,143.17329,7.5963712,3.3450012,654.85297,109.01882,81.401527,7617.0,17.878839,0.69999999,123.7506,0.41176471,159.10117,6.0,22.369518,18.335535,10.891866,232.0,24.949018,77.0,6.0,3.0,1.0,0.2619549,28.0,92.197891,41.421074,18.208727,34.672634,759.56964,17.0,29.0,88.215919,4.0,44.049957,6.0,6.6147099,35.0,49.0,6.0,47.0,6.0,6.0,12.0,3.0,2.0,2.0,4.0,0.0,-7.4
4.033,-7.4681101,0.0,-0.2019701,0.093999863,0.19148937,0.49777886,2.7201099,0.11253787,-7.2206979,11.617604,-0.41327551,6.0808225,12.242019,-0.43025172,2.5798984,17.983292,0.038260717,188.68405,0.38054568,12.530041,-2.4573565,-2.7154334,67.397217,77.697189,-0.27035406,3.682657,92.766678,0.86766905,0.34096587,0.13233095,22.047337,0.082825981,81.401527,0.0,2.0,-3.3160341,143.17329,8.8215923,3.3160341,662.91699,114.35316,81.401527,7431.0,18.194839,0.60000002,123.7506,0.375,159.10117,6.0,22.245728,18.603329,10.903396,226.0,25.534805,76.0,6.0,3.0,1.0,0.2579309,22.0,92.197891,43.164932,18.462185,35.258419,767.56403,16.0,29.0,0.0,5.0,44.049957,6.0,6.5849624,35.0,48.0,0.0,47.0,0.0,6.0,12.0,2.0,1.0,2.0,4.0,0.0,-4.94
3.098,-6.7076201,0.0,-0.21066926,0.093120679,0.27083334,0.60559356,2.719734,0.14519575,-7.3552804,11.618258,-0.43364218,9.1457682,11.905302,-0.49264103,1.9279361,17.646574,0.056837842,239.16316,0.47861934,13.153832,-2.4502854,-2.7058103,67.397217,77.697189,-0.33363491,3.8432662,174.01768,0.74766469,0.43428841,0.25233528,21.507786,0.082051307,81.401527,81.251015,2.0,-3.347342,143.17329,7.5963712,3.347342,668.88,112.11241,81.401527,8226.0,18.34054,0.80000001,123.7506,0.44444445,159.10117,6.0,22.869518,18.789925,10.945385,236.0,25.656126,78.0,6.0,3.0,1.0,0.25768197,28.0,92.197891,42.4128,18.676847,35.379742,778.09711,18.0,30.0,88.215919,4.0,44.049957,6.0,6.643856,36.0,50.0,6.0,48.0,6.0,6.0,12.0,3.0,2.0,2.0,4.0,0.0,-5.16
2.352,-6.5212002,8.458519,-0.21122283,0.090155445,0.27083334,0.608895,2.7197208,0.13622434,-6.9135079,12.531088,-0.46356815,9.332592,11.051748,-0.47735059,1.9279361,17.28582,0.055494044,201.42636,0.45244178,12.245584,-2.4495771,-2.7041864,89.455688,77.697189,-0.31131887,3.8432662,95.270432,0.86169118,0.48493725,0.13830881,21.507786,0.075418532,83.905281,0.0,2.0,-3.6417279,143.17329,4.4107962,3.6417279,670.85199,109.82082,81.401527,8226.0,18.05794,0.80000001,144.67685,0.44444445,159.10117,6.0,22.869518,18.54072,10.945385,236.0,24.949018,78.0,7.0,3.0,1.0,0.25768197,28.0,113.12415,42.4128,18.393883,35.379742,770.23108,18.0,29.0,88.215919,4.0,44.049957,7.0,6.643856,35.0,50.0,6.0,48.0,6.0,6.0,13.0,3.0,2.0,2.0,4.0,0.0,-5.46
